Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;AUROBINDO PHARMA ITALIA Srl;044669012;AAD;
Abacavir/Lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;60,00;36,36;-;SUN PHARMACEUTICAL IND.EU.B.V.;045348036;AAD;
Abacavir/lamivudina/zidovudina;ABACAVIR+LAMIVUDINA+ZIDOVUDINA 300+150+300MG 60 UNITA' USO ORALE;ABACAVIR LAMIVUDINA ZIDOVUDINA*60x1 cpr riv 300 mg + 150 mg + 300 mg;593,43;359,57;-;MYLAN SpA;042645046;AAE;
Abacavir;ABACAVIR 300MG 60 UNITA' USO ORALE;ABACAVIR*60 cpr riv 300 mg;235,86;142,91;-;MYLAN SpA;045354040;AAC;
Idecabtagene vicleucel;IDECABTAGENE VICLEUCEL 1 SACCA EV;ABECMA*EV 260-500x10 alla sesta cellule dispersione per infusione SACCA specifica per paziente 1 o piu' sacche;521324,08;315875,00;-;BRISTOL M.SQUIBB PHARMA EEIG;049604010;MYK;
Bevacizumab;BEVACIZUMAB 400MG 16ML 1 UNITA' USO PARENTERALE;ABEVMY*1 flaconcino EV 16 ml 25 mg/ml;1535,94;930,65;-;BIOSIMILAR COLLABORATIONS IRELAND LTD;049452030;AGG;
Bevacizumab;BEVACIZUMAB 100MG 4ML 1 UNITA' USO PARENTERALE;ABEVMY*1 flaconcino EV 4 ml 25 mg/ml;383,51;232,38;-;BIOSIMILAR COLLABORATIONS IRELAND LTD;049452016;AGF;
Aripiprazolo;ARIPIPRAZOLO 400MG 1 UNITA' USO PARENTERALE RP;ABILIFY MAINTENA*1 flaconcino IM 400 mg + 1 flaconcino solv 2 ml rilascio prolungato;418,40;253,52;-;OTSUKA PHARMACEUT.NETHER.BV;043143027;HSE;
Aripiprazolo;ARIPIPRAZOLO 720MG 2,4 ML 1 UNITA' USO PARENTERALE RP;ABILIFY MAINTENA*1 siringa preriempita IM 720 mg 2,4 ml rilascio prolungato + 2 aghi;945,56;572,94;-;OTSUKA PHARMACEUT.NETHER.BV;043143092;NUE;
Aripiprazolo;ARIPIPRAZOLO 960MG 3,2 ML 1 UNITA' USO PARENTERALE RP;ABILIFY MAINTENA*1 siringa preriempita IM 960 mg 3,2 ml rilascio prolungato + 2 aghi;945,56;572,94;-;OTSUKA PHARMACEUT.NETHER.BV;043143104;NDP;
Aripiprazolo;ARIPIPRAZOLO 9,75MG 1,3ML 1 UNITA' USO PARENTERALE;ABILIFY*1 flaconcino IM 1,3 ml 7,5 mg/ml;4,77;2,89;-;OTSUKA PHARMACEUT.NETHER.BV;036582207;AER;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr 250 mg flacone;3251,47;1970,11;-;MEDAC GMBH;049297017;AAH;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr 250 mg flacone;3056,50;1851,98;-;ACCORD HEALTHCARE SLU;049479013;AAH;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr riv 250 mg flacone;3251,47;1970,11;-;SANDOZ SpA;048401133;AAH;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*14x4 cpr riv 500 mg;2852,73;1728,51;-;QILU PHARMA SPAIN S.L.;050048038;KII;
Abiraterone;ABIRATERONE 1000MG 28 UNITA' USO ORALE;ABIRATERONE*28 cpr riv 1.000 mg;2852,73;1728,51;-;SANDOZ GMBH;048749016;MKD;
Abiraterone;ABIRATERONE 1000MG 28 UNITA' USO ORALE;ABIRATERONE*28 cpr riv 1.000 mg flacone;2852,73;1728,51;-;MYLAN PHARMACEUTICALS LIMITED;049686090;MKD;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;SANDOZ SpA;048401261;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;MEDAC GMBH;049297029;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;ARISTO PHARMA GMBH;049298021;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;ZENTIVA ITALIA Srl;049755010;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;SUN PHARMA FRANCE;050293012;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;MEDICAL VALLEY INVEST AB;051289015;KII;
