numquest,head,quest,answ1,answ2,answ3,answ4,answ5,answ6,answ7,answ8,answ9,answ10,answ11,answ12
31,La settimana scorsa:,Ha avuto sete?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
32,La settimana scorsa:,Ha avuto problemi col senso del gusto?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
33,La settimana scorsa:,Ha perso tono muscolare nelle braccia o nelle gambe?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
34,La settimana scorsa:,Ha avuto gonfiore addominale?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
35,La settimana scorsa:,Ha avuto preoccupazioni per l'aspetto dell'addome?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
36,La settimana scorsa:,Ha avuto preoccupazioni per il colore giallo (ittero) assunto dalla pelle o dagli occhi?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
37,La settimana scorsa:,Ha avuto prurito?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
38,La settimana scorsa:,Ha avuto dolori alla spalla?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
39,La settimana scorsa:,Ha avuto dolori addominali?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
40,La settimana scorsa:,Ha avuto la febbre?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
41,La settimana scorsa:,Ha avuto brividi?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
42,La settimana scorsa:,Si è preoccupato di assumere nutrimento sufficiente?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
43,La settimana scorsa:,Ha provato sazietà troppo presto dopo aver iniziato a mangiare?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
44,La settimana scorsa:,Ha avuto preoccupazioni riguardo a un eccessivo calo di peso?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
45,La settimana scorsa:,È stato(a) meno attivo(a) di quanto avrebbe voluto essere?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
46,La settimana scorsa:,Ha trovato difficile portare a termine le attività?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
47,La settimana scorsa:,Ha avuto bisogno di dormire durante il giorno?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
48,Durante le ultime quattro settimane:,La malattia o la terapia hanno avuto effetti sulla Sua vita sessuale?,No,Un poco,Parecchio,Moltissimo,,,,,,,,
