numquest,macrogroup,category,term,answ1,answ2,answ3,answ4,answ5,answ6,answ7,answ8
1,Dry_Mouth_(S),SENSAZIONE DI BOCCA SECCA,"Negli ultimi 7 giorni, quanto è stata GRAVE la SENSAZIONE DI BOCCA SECCA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
2,Swallowing_(S),DIFFICOLTA A DEGLUTIRE,"Negli ultimi 7 giorni, quanto è stata GRAVE la DIFFICOLTA A DEGLUTIRE nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
3,Sore_mouth_(S),PIAGHE IN BOCCA O IN GOLA,"Negli ultimi 7 giorni, quanto sono state GRAVI le PIAGHE IN BOCCA O IN GOLA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
4,Sore_mouth_(I),PIAGHE IN BOCCA O IN GOLA,"Negli ultimi 7 giorni, in che misura le PIAGHE IN BOCCA O IN GOLA HANNO INTERFERITO con le Sue attività abituali o quotidiane?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
5,Mouth_corners_cracking_(S),SCREPOLATURE AGLI ANGOLI DELLA BOCCA,"Negli ultimi 7 giorni, quanto sono state GRAVI le SCREPOLATURE AGLI ANGOLI DELLA BOCCA, nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
6,Voice_changes_(P),MODIFICAZIONI DELLA VOCE,"Negli ultimi 7 giorni, ha notato MODIFICAZIONI DELLA VOCE?",Sì,No,,,,,,
7,Hoarse_voice_(S),VOCE RAUCA,"Negli ultimi 7 giorni, quanto è stata GRAVE la VOCE RAUCA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
8,Dysgeusia_(S),DIFFICOLTÀ A SENTIRE IL SAPORE DI CIBI O BEVANDE,"Negli ultimi 7 giorni, quanto è stata GRAVE la DIFFICOLTA A SENTIRE IL SAPORE DI CIBI O BEVANDE nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
9,Appetite_(S),CALO DELL'APPETITO,"Negli ultimi 7 giorni, quanto è stato GRAVE il CALO DELL'APPETITO nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
10,Appetite_(I),CALO DELL'APPETITO,"Negli ultimi 7 giorni, in che misura il CALO DELL'APPETITO HA INTERFERITO con le Sue attività abituali o quotidiane?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
11,Nausea_(F),NAUSEA (senso di malessere allo stomaco),"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto NAUSEA (senso di malessere allo stomaco)?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
12,Nausea_(S),NAUSEA (senso di malessere allo stomaco),"Negli ultimi 7 giorni, quanto è stata GRAVE la NAUSEA (senso di malessere allo stomaco) nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
13,Vomiting_(F),VOMITO,"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto VOMITO?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
14,Vomiting_(S),VOMITO,"Negli ultimi 7 giorni, quanto è stato GRAVE il VOMITO nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
15,Heartburn_(F),BRUCIORE DI STOMACO,"Negli ultimi 7 giorni, con quale FREQUENZA ha accusato IL BRUCIORE DI STOMACO?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
16,Heartburn_(S),BRUCIORE DI STOMACO,"Negli ultimi 7 giorni, quanto è stato GRAVE IL BRUCIORE DI STOMACO nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
17,Flatulence_(P),MAGGIOR PRODUZIONE DI ARIA INTESTINALE (FLATULENZA),"Negli ultimi 7 giorni, ha notato una MAGGIOR PRODUZIONE DI ARIA INTESTINALE (FLATULENZA)?",Sì,No,,,,,,
18,Bloating_(F),GONFIORE DELLA PANCIA,"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto GONFIORE DELLA PANCIA?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
19,Bloating_(S),GONFIORE DELLA PANCIA,"Negli ultimi 7 giorni, quanto è stato GRAVE il GONFIORE DELLA PANCIA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
20,Hiccups_(F),SINGHIOZZO,"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto il SINGHIOZZO?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
21,Hiccups_(S),SINGHIOZZO,"Negli ultimi 7 giorni, quanto è stato GRAVE il SINGHIOZZO nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
22,Constipation_(S),STITICHEZZA,"Negli ultimi 7 giorni, quanto è stata GRAVE la STITICHEZZA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
23,Diarrhoea_(F),FECI MOLLI O ACQUOSE (DIARREA),"Negli ultimi 7 giorni, con quale FREQUENZA ha notato FECI MOLLI O ACQUOSE (DIARREA)?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
24,Abdominal_pain_(F),MAL DI PANCIA,"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto MAL DI PANCIA?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
25,Abdominal_pain_(S),MAL DI PANCIA,"Negli ultimi 7 giorni, quanto è stato GRAVE il MAL DI PANCIA nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
26,Abdominal_pain_(I),MAL DI PANCIA,"Negli ultimi 7 giorni, in che misura il MAL DI PANCIA HA INTERFERITO con le Sue attività abituali o quotidiane?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
27,Fecal_incontinence_(F),PERDITE DI FECI,"Negli ultimi 7 giorni, con quale FREQUENZA ha avuto PERDITE DI FECI?",Mai,Raramente,Qualche volta,Spesso,Quasi sempre,,,
28,Fecal_incontinence_(I),PERDITE DI FECI,"Negli ultimi 7 giorni, in che misura le PERDITE DI FECI HANNO INTERFERITO con le Sue attività abituali o quotidiane?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
29,Dyspnoea_(S),MANCANZA DI FIATO,"Negli ultimi 7 giorni, quanto è stata GRAVE la MANCANZA DI FIATO nel momento PEGGIORE?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
30,Dyspnoea_(I),MANCANZA DI FIATO,"Negli ultimi 7 giorni, in che misura la MANCANZA DI FIATO ha INTERFERITO con le Sue attività abituali o quotidiane?",Per nulla,Un poco,Abbastanza,Molto,Moltissimo,,,
