numquest,code,parent,showif,answerType,head,quest,answ1,answ2,answ3,answ4,answ5,answ6,answ7,answ8,answ9,answ10,answ11,answ12
1,,,,,"Gentile Signora/Signore, per ognuna delle seguenti affermazioni Le chiediamo di segnare la risposta che meglio descrive la Sua esperienza.","Sono in grado di sostenere le mie spese mensili senza difficoltà (ad esempio per affitto, elettricità, telefono…)",Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
2,,,,,-,La mia malattia ha ridotto le mie disponibilità economiche,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
3,,,,,-,Sono preoccupato dei problemi economici che potrei avere in futuro a causa della mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
4,,,,,-,La mia condizione economica incide sulle mie possibilità di curarmi,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
5,,,,,-,"Ho ridotto le spese per attività ricreative come vacanze, ristoranti o spettacoli per affrontare le spese della mia malattia",Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
6,,,,,-,Ho ridotto le spese per acquisti essenziali (ad esempio il cibo) per affrontare le spese per la mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
7,,,,,-,Sono preoccupato/a di non riuscire a lavorare a causa della mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
8,,,,,-,Il Servizio Sanitario Nazionale copre tutti i costi sanitari associati alla mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,8.1,8,2|3|4,multichoice,-,Indichi per quali voci ha sostenuto spese (più risposte possibili),Ho speso per esami radiologici,Ho speso per esami di laboratorio,Ho speso per test genetici,Ho speso per interventi chirurgici (per rimuovere il tumore),Ho speso per chirurgia ricostruttiva o estetica,Ho speso per radioterapia,Ho speso per riabilitazione,Ho speso per assistenza medica domiciliare,Ho speso per assistenza infermieristica domiciliare,Ho speso per tutori o protesi,Ho speso per parrucca,Ho speso per altro (specificare)
9,,,,,-,Ho sostenuto spese per una o più visite private per la mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,9.1,9,2|3|4,multichoice,-,Indichi per quali visite private ha sostenuto spese (più risposte possibili),Ho speso per visite mediche,Ho speso per visite chirurgiche,Ho speso per visite radioterapiche,Ho speso per altro (specificare),,,,,,,,
10,,,,,-,Ho sostenuto spese per farmaci supplementari o integratori per la mia malattia,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,10.1,10,2|3|4,multichoice,-,Indichi per quali farmaci o integratori ha sostenuto spese (più risposte possibili),Ho speso per farmaci per il dolore,Ho speso per farmaci per la cura degli effetti collaterali,Ho speso per farmaci per il controllo dei sintomi,Ho speso per vitamine,Ho speso per integratori alimentari,Ho speso per pomate o altri prodotti per la pelle,Ho speso per prodotti omeopatici,,,,,
,10.1.1,10.1,1,multichoice,-,Farmaci per il dolore — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.2,10.1,2,multichoice,-,Farmaci per la cura degli effetti collaterali — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.3,10.1,3,multichoice,-,Farmaci per il controllo dei sintomi — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.4,10.1,4,multichoice,-,Vitamine — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.5,10.1,5,multichoice,-,Integratori alimentari — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.6,10.1,6,multichoice,-,Pomate o altri prodotti per la pelle — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
,10.1.7,10.1,7,multichoice,-,Prodotti omeopatici — su indicazione di chi? (più risposte possibili),Su indicazione dell’oncologo medico,Su indicazione del chirurgo,Su indicazione del radioterapista,Su indicazione del medico di medicina generale,Su indicazione di altro personale sanitario (specificare),Per scelta personale,Su consiglio di familiari/amici,,,,,
11,,,,,-,"Devo sostenere spese per cure integrative a mio carico (es. fisioterapia, psicoterapia, cure odontoiatriche)",Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,11.1,11,2|3|4,multichoice,-,Indichi per quali cure integrative sostiene spese (più risposte possibili),Sostengo spese per fisioterapia o fisiatria,"Sostengo spese per supporto psicologico, psichiatrico o psicoterapia",Sostengo spese per cure odontoiatriche,Sostengo spese per visite oculistiche,Sostengo spese per visite con dietologi/nutrizionisti,Sostengo spese per consulenze genetiche,Sostengo spese per altro (specificare),,,,,
12,,,,,-,Il centro di cura è lontano dalla mia abitazione,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,12.1,12,2|3|4,number,-,Quanti chilometri dista il centro di cura dalla sua abitazione?,,,,,,,,,,,,
,12.2,12,2|3|4,choice,-,È stato necessario farsi accompagnare?,No,Sì,,,,,,,,,,
,12.3,12,2|3|4,choice,-,È stato necessario pernottare fuori casa?,No,Sì,,,,,,,,,,
13,,,,,-,Ho dovuto sostenere rilevanti costi di trasporto per curarmi,Per niente d’accordo,Un po’ d’accordo,Abbastanza d’accordo,Moltissimo d’accordo,,,,,,,,
,13.1,13,2|3|4,multichoice,-,Che mezzi di trasporto ha dovuto utilizzare? (più risposte possibili),Auto propria,Taxi/autista,Autobus,Treno,Aereo,Altro (specificare),,,,,,
